"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"TCGA-78-7159-01","False","False","1.08","-0.25","0.29","-0.64","-0.99","0.47","False","-1.42","1.08","0.10","-0.00","0.00"
"TCGA-95-7948-01","True","False","1.08","-1.05","0.88","-0.76","-2.01","-0.69","False","-1.22","1.08","0.04","-0.01","0.07"
"TCGA-62-8394-01","False","False","1.06","0.48","0.30","-0.03","-0.62","0.14","False","-0.46","1.06","0.13","-0.03","-0.01"
"TCGA-55-6978-01","False","False","1.06","3.04","0.56","2.22","3.20","2.61","True","1.06","1.19","0.03","0.18","-0.11"
"TCGA-97-A4M3-01","True","False","1.04","-1.72","0.31","-1.29","-1.30","-1.46","False","-0.58","1.04","0.00","0.06","0.03"
"TCGA-55-8090-01","False","False","1.01","-0.69","0.56","-0.43","1.60","-1.22","False","1.66","1.01","0.05","0.07","-0.02"
"TCGA-44-3398-01","False","False","1.00","0.24","0.97","0.25","1.20","0.04","False","-0.35","1.00","-0.07","0.14","0.03"
"TCGA-05-4430-01","False","False","1.00","0.16","0.48","0.30","0.04","0.17","True","1.00","2.42","-0.02","0.20","0.03"
"TCGA-69-7761-01","False","False","0.99","2.22","0.38","1.24","0.36","1.33","True","0.99","-2.32","-0.09","-0.04","-0.08"
"TCGA-86-8674-01","False","False","0.97","-1.43","0.70","-1.49","-1.33","-1.61","False","-1.94","0.97","0.06","-0.03","0.05"
"TCGA-J2-8194-01","False","False","0.96","-0.64","0.54","-0.62","-0.53","-1.34","False","-1.47","0.96","-0.04","0.10","0.02"
"TCGA-55-A490-01","False","False","0.95","-1.33","0.06","-1.11","-1.62","-1.09","False","0.66","0.95","0.05","0.03","0.01"
"TCGA-95-7562-01","False","False","0.94","1.54","0.78","0.37","-0.39","-0.17","False","-2.12","0.94","0.10","0.00","-0.02"
"TCGA-44-A4SS-01","False","False","0.94","1.84","0.16","1.01","0.35","1.00","True","0.94","-0.84","-0.05","0.05","-0.07"
"TCGA-78-8655-01","False","False","0.94","0.56","0.57","0.49","-0.14","0.83","True","0.94","-0.41","-0.05","-0.01","0.01"
"TCGA-62-8395-01","False","False","0.93","-0.98","0.61","-0.53","-1.71","-0.61","False","0.53","0.93","-0.06","0.08","0.06"
"TCGA-78-7149-01","False","False","0.93","-1.46","0.29","-1.29","-2.38","-1.32","False","-0.71","0.93","0.01","-0.03","0.11"
"TCGA-78-7537-01","False","False","0.92","-1.86","0.51","-0.89","-1.79","-0.36","False","0.28","0.92","-0.05","0.05","0.09"
"TCGA-L4-A4E5-01","False","False","0.90","-0.69","0.25","-0.52","0.59","-0.65","False","-0.72","0.90","0.13","-0.07","0.03"
"TCGA-55-8615-01","False","False","0.89","-2.13","0.18","-1.81","-2.13","-2.31","False","-0.62","0.89","0.07","-0.03","0.05"
"TCGA-86-8585-01","False","False","0.88","0.56","0.44","0.62","0.23","0.82","True","0.88","-1.29","-0.00","-0.08","-0.04"
"TCGA-35-5375-01","False","False","0.87","0.71","0.74","0.01","0.03","0.84","False","-2.25","0.87","0.07","-0.02","0.02"
"TCGA-55-7576-01","False","False","0.87","-0.31","0.30","-0.08","-0.08","0.28","False","-0.54","0.87","0.02","0.04","0.02"
